"X_unit_id"	"X_golden"	"X_unit_state"	"X_trusted_judgments"	"X_last_judgment_at"	"airline_sentiment"	"airline_sentiment.confidence"	"negativereason"	"negativereason.confidence"	"airline"	"airline_sentiment_gold"	"name"	"negativereason_gold"	"retweet_count"	"text"	"tweet_coord"	"tweet_created"	"tweet_id"	"tweet_location"	"user_timezone"
"1"	681448150	FALSE	"finalized"	3	"2/25/15 5:24"	"neutral"	1	""	NA	"Virgin America"	NA	"cairdin"	NA	0	"@VirginAmerica What @dhepburn said."	""	"2/24/15 11:35"	5.70306e+17	""	"Eastern Time (US & Canada)"
"2"	681448153	FALSE	"finalized"	3	"2/25/15 1:53"	"positive"	0.3486	""	0	"Virgin America"	NA	"jnardino"	NA	0	"@VirginAmerica plus you've added commercials to the experience... tacky."	""	"2/24/15 11:15"	5.70301e+17	""	"Pacific Time (US & Canada)"
"3"	681448156	FALSE	"finalized"	3	"2/25/15 10:01"	"neutral"	0.6837	""	NA	"Virgin America"	NA	"yvonnalynn"	NA	0	"@VirginAmerica I didn't today... Must mean I need to take another trip!"	""	"2/24/15 11:15"	5.70301e+17	"Lets Play"	"Central Time (US & Canada)"
"4"	681448158	FALSE	"finalized"	3	"2/25/15 3:05"	"negative"	1	"Bad Flight"	0.7033	"Virgin America"	NA	"jnardino"	NA	0	"@VirginAmerica it's really aggressive to blast obnoxious \"entertainment\" in your guests' faces &amp; they have little recourse"	""	"2/24/15 11:15"	5.70301e+17	""	"Pacific Time (US & Canada)"
"5"	681448159	FALSE	"finalized"	3	"2/25/15 5:50"	"negative"	1	"Can't Tell"	1	"Virgin America"	NA	"jnardino"	NA	0	"@VirginAmerica and it's a really big bad thing about it"	""	"2/24/15 11:14"	5.70301e+17	""	"Pacific Time (US & Canada)"
"6"	681448162	FALSE	"finalized"	3	"2/25/15 9:10"	"negative"	1	"Can't Tell"	0.6842	"Virgin America"	NA	"jnardino"	NA	0	"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA"	""	"2/24/15 11:14"	5.70301e+17	""	"Pacific Time (US & Canada)"
"7"	681448165	FALSE	"finalized"	3	"2/25/15 8:11"	"positive"	0.6745	""	0	"Virgin America"	NA	"cjmcginnis"	NA	0	"@VirginAmerica yes, nearly every time I fly VX this â€œear wormâ€ù wonâ€™t go away :)"	""	"2/24/15 11:13"	5.70301e+17	"San Francisco CA"	"Pacific Time (US & Canada)"
"8"	681448167	FALSE	"finalized"	3	"2/25/15 2:11"	"neutral"	0.634	""	NA	"Virgin America"	NA	"pilot"	NA	0	"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP"	""	"2/24/15 11:12"	5.703e+17	"Los Angeles"	"Pacific Time (US & Canada)"
"9"	681448169	FALSE	"finalized"	3	"2/25/15 9:01"	"positive"	0.6559	""	NA	"Virgin America"	NA	"dhepburn"	NA	0	"@virginamerica Well, I didn'tâ€_but NOW I DO! :-D"	""	"2/24/15 11:11"	5.703e+17	"San Diego"	"Pacific Time (US & Canada)"
"10"	681448171	FALSE	"finalized"	3	"2/25/15 4:15"	"positive"	1	""	NA	"Virgin America"	NA	"YupitsTate"	NA	0	"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me."	""	"2/24/15 10:53"	5.70295e+17	"Los Angeles"	"Eastern Time (US & Canada)"
"11"	681448174	FALSE	"finalized"	3	"2/25/15 8:34"	"neutral"	0.6769	""	0	"Virgin America"	NA	"idk_but_youtube"	NA	0	"@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24"	""	"2/24/15 10:48"	5.70294e+17	"1/1 loner squad"	"Eastern Time (US & Canada)"
"12"	681448176	FALSE	"finalized"	3	"2/25/15 2:03"	"positive"	1	""	NA	"Virgin America"	NA	"HyperCamiLax"	NA	0	"@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D"	""	"2/24/15 10:30"	5.7029e+17	"NYC"	"America/New_York"
"13"	681448178	FALSE	"finalized"	3	"2/25/15 2:13"	"positive"	1	""	NA	"Virgin America"	NA	"HyperCamiLax"	NA	0	"@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p"	""	"2/24/15 10:30"	5.7029e+17	"NYC"	"America/New_York"
"14"	681448181	FALSE	"finalized"	3	"2/25/15 5:39"	"positive"	0.6451	""	NA	"Virgin America"	NA	"mollanderson"	NA	0	"@VirginAmerica @virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn"	""	"2/24/15 10:21"	5.70287e+17	""	"Eastern Time (US & Canada)"
